dmg,acc_date,type,reg,operator,fatal,location
sub,03-Jan-22,British Aerospace 4121 Jetstream 41,ZS-NRJ,SA Airlink,0,near Venetia Mine Airport
sub,04-Jan-22,British Aerospace 3101 Jetstream 31,HR-AYY,LANHSA - Línea Aérea Nacional de Honduras S.A,0,Roatán-Juan Manuel Gálvez International Airport (RTB)
sub,05-Jan-22,Boeing 737-4H6,EP-CAP,Caspian Airlines,0,Isfahan-Shahid Beheshti Airport (IFN)
w/o,08-Jan-22,Tupolev Tu-204-100C,RA-64032,"Cainiao, opb Aviastar-TU",0,Hangzhou Xiaoshan International Airport (HGH)
non,16-Jan-22,Airbus A320-214 (WL),JA24MC,Star Flyer,0,near Okayama City
sub,19-Jan-22,Cessna 208B Grand Caravan EX,YV3033,Mahan Air,0,"near Vakilabad, Arzuiyeh"
sub,22-Jan-22,Airbus A320-232,N760JB,JetBlue Airways,0,"Hayden-Yampa Valley Airport, CO (HDN)"
sub,27-Jan-22,Bombardier CL-600-2B16 Challenger 604,2-SLOW,Volare Aviation,0,Heraklion-N. Kazantzakis Airport (HER/LGIR)
sub,31-Jan-22,Bombardier CL-600-2B16 Challenger 604,N999PX,Lima Delta Co Trustee,0,London-Stansted Airport (STN)
sub,31-Jan-22,Beechcraft B300 King Air 350,C-GEAS,"Air Tindi, opf Royal Canadian Air Force - RCAF",0,"Thunder Bay Airport, ON (YQT)"
sub,02-Feb-22,Hawker 1000,N207K,Skyview LLC,0,"Islip-Long Island MacArthur Airport, NY (ISP)"
sub,05-Feb-22,Cessna 208B Grand Caravan,5H-TAZ,Care Aviation,0,New Fangak Airstrip
sub,07-Feb-22,Embraer ERJ-190-100LR,OH-LKK,Finnair,0,København-Kastrup Airport (CPH)
sub,08-Feb-22,Antonov An-26,SP-402,South Sudanese Air Force,0,Agok Airstrip
sub,11-Feb-22,Cessna 501 Citation I/SP,LV-JUO,Aviajet SA,0,"Morón-Ituzaingo Airport, BA"
w/o,11-Feb-22,Antonov An-2R,RA-33599,Kamchatsky Krechet,2,"1 km SW of Koryaki, Yelizovsky district, Kamchatka"
w/o,14-Feb-22,Let L-410UVP-E3,9S-GFA,Doren Air Congo,0,Bukavu-Kavumu Airport (BKY)
non,15-Feb-22,ATR 42-500,JA04JC,Japan Air Commuter,0,55 km NNW of Osaka Airport
sub,15-Feb-22,Britten-Norman BN-2A-9 Islander,N821RR,Air Flamenco,0,Culebra Airport (CPX)
sub,16-Feb-22,Swearingen SA226-AT Merlin IV,HK-5225,Colcharter,0,San Andres Island-Gustavo Rojas Pinilla Airport (ADZ)
sub,18-Feb-22,Embraer EMB-500 Phenom 100E,N68NH,Eclipse Transport LLC,0,"Detroit-Coleman A. Young International Airport, MI (DET)"
sub,21-Feb-22,de Havilland Canada DHC-3T Texas Turbine Otter,N413JP,Bald Mountain Air Services,0,"Umiat Airport, AK (UMT)"
sub,21-Feb-22,Raytheon Hawker 800XP,N99AP,Roper Aviation LLC,0,"Aspen-Pitkin County Airport, CO (ASE/KASE)"
sub,23-Feb-22,Cessna 208B Grand Caravan,5X-ASD,Air Serv Limited,0,Bor Airport (HSBR)
sub,24-Feb-22,Antonov An-22A,UR-09307,Antonov Airlines,0,Kyiv-Gostomel Airport (GML)
w/o,24-Feb-22,Antonov An-26-100,UR-13395,Antonov Airlines,0,Kyiv-Gostomel Airport (GML)
w/o,24-Feb-22,Antonov An-74T,UR-74010,Antonov Airlines,0,Kyiv-Gostomel Airport (GML)
sub,24-Feb-22,Cessna 208B Supervan 900,N10JA,GoJump Oceanside,0,"0,4 km NE of Oceanside Municipal Airport, CA (OCN/KOKB)"
w/o,24-Feb-22,Antonov An-26,RF-36074,Russian Air Force,,"near Ostrogozhsk, Voronezh Region"
w/o,24-Feb-22,Antonov An-26,59 blue,Ukraine Air Force,5,ca 2 km N of Zhukivtsi
w/o,26-Feb-22,Cessna 208B Grand Caravan,5H-MZA,AB Aviation,14,"2,5 km NW off Mohéli-Bandar es Eslam Airport (NWA)"
sub,27-Feb-22,Antonov An-124-100,UR-82009,Antonov Airlines,0,Kyiv-Gostomel Airport (GML)
w/o,27-Feb-22,Antonov An-225,UR-82060,Antonov Airlines,0,Kyiv-Gostomel Airport (GML)
sub,28-Feb-22,Cessna 208B Grand Caravan,N108RF,Revolution Flight,0,"Campbellton, TX"
min,28-Feb-22,Embraer ERJ 170-200 LR (ERJ-175LR),N402YX,"American Eagle, opb Republic Airlines",0,"Washington-Ronald Reagan National Airport, DC (DCA)"
